,county,date,month,2.9%tax,year,total_revenue
218,San Miguel,4-01-2014,4,1429,2014,49275.862069
219,Summit,4-01-2014,4,8120,2014,280000.0
220,Weld,4-01-2014,4,14716,2014,507448.275862
221,Other Counties,4-01-2014,4,19731,2014,680379.310345
222,Adams,4-01-2015,4,13330,2015,459655.172414
223,Arapahoe,4-01-2015,4,160958,2015,5550275.86207
224,Boulder,4-01-2015,4,63067,2015,2174724.13793
225,Clear Creek,4-01-2015,4,519,2015,17896.5517241
226,Denver,4-01-2015,4,266771,2015,9199000.0
227,Eagle,4-01-2015,4,9024,2015,311172.413793
228,El Paso,4-01-2015,4,205057,2015,7070931.03448
229,Fremont,4-01-2015,4,5371,2015,185206.896552
230,Garfield,4-01-2015,4,10780,2015,371724.137931
231,Jefferson,4-01-2015,4,47633,2015,1642517.24138
232,La Plata,4-01-2015,4,20888,2015,720275.862069
233,Larimer,4-01-2015,4,36297,2015,1251620.68966
234,Montezuma,4-01-2015,4,3876,2015,133655.172414
235,Pitkin,4-01-2015,4,2096,2015,72275.862069
236,Pueblo,4-01-2015,4,8459,2015,291689.655172
237,Routt,4-01-2015,4,5432,2015,187310.344828
238,San Miguel,4-01-2015,4,1112,2015,38344.8275862
239,Summit,4-01-2015,4,8644,2015,298068.965517
240,Weld,4-01-2015,4,7984,2015,275310.344828
241,Other Counties,4-01-2015,4,17906,2015,617448.275862
242,Adams,4-01-2016,4,17594,2016,606689.655172
243,Arapahoe,4-01-2016,4,62995,2016,2172241.37931
244,Boulder,4-01-2016,4,80529,2016,2776862.06897
245,Clear Creek,4-01-2016,4,2372,2016,81793.1034483
246,Denver,4-01-2016,4,518807,2016,17889896.5517
247,Eagle,4-01-2016,4,3760,2016,129655.172414
248,El Paso,4-01-2016,4,250786,2016,8647793.10345
249,Fremont,4-01-2016,4,8262,2016,284896.551724
250,Garfield,4-01-2016,4,15483,2016,533896.551724
251,Jefferson,4-01-2016,4,52014,2016,1793586.2069
252,La Plata,4-01-2016,4,11506,2016,396758.62069
253,Larimer,4-01-2016,4,38172,2016,1316275.86207
254,Montezuma,4-01-2016,4,3164,2016,109103.448276
255,Pitkin,4-01-2016,4,2474,2016,85310.3448276
256,Pueblo,4-01-2016,4,28412,2016,979724.137931
257,Routt,4-01-2016,4,5292,2016,182482.758621
258,San Miguel,4-01-2016,4,1538,2016,53034.4827586
259,Summit,4-01-2016,4,6673,2016,230103.448276
260,Weld,4-01-2016,4,18193,2016,627344.827586
261,Other Counties,4-01-2016,4,17042,2016,587655.172414
262,Adams,5-01-2014,5,19753,2014,681137.931034
263,Arapahoe,5-01-2014,5,29480,2014,1016551.72414
264,Boulder,5-01-2014,5,75248,2014,2594758.62069
265,Chaffee,5-01-2014,5,3066,2014,105724.137931
266,Clear Creek,5-01-2014,5,2768,2014,95448.2758621
267,Denver,5-01-2014,5,448749,2014,15474103.4483
268,Eagle,5-01-2014,5,5326,2014,183655.172414
269,El Paso,5-01-2014,5,161302,2014,5562137.93103
270,Fremont,5-01-2014,5,4663,2014,160793.103448
271,Garfield,5-01-2014,5,14261,2014,491758.62069
272,Gilpin,5-01-2014,5,1298,2014,44758.6206897
273,Jefferson,5-01-2014,5,51392,2014,1772137.93103
274,La Plata,5-01-2014,5,15120,2014,521379.310345
275,Larimer,5-01-2014,5,30427,2014,1049206.89655
276,Montezuma,5-01-2014,5,4176,2014,144000.0
277,Pitkin,5-01-2014,5,4027,2014,138862.068966
278,Pueblo,5-01-2014,5,13263,2014,457344.827586
279,Routt,5-01-2014,5,4761,2014,164172.413793
280,San Miguel,5-01-2014,5,1863,2014,64241.3793103
281,Summit,5-01-2014,5,5659,2014,195137.931034
282,Weld,5-01-2014,5,14504,2014,500137.931034
283,Other Counties,5-01-2014,5,16146,2014,556758.62069
